title	description	coder 1	movie 1	topic 1	coder 2	movie 2	topic 2	final movie	final topic
Taylor Swift Will Seemingly Attend Beyonce's Movie Premiere in London - Get the Details	Taylor Swift missed out on an exciting opportunity to support fellow pop icon Beyonce at the premiere of Renaissance: A Film By Beyonce over the weekend, but Swifties are convinced that she’ll be on the red carpet for the movie’s London premiere on Friday (No…							Renaissance	Promo
How Donnie Darko And Martin Scorsese Influenced Five Nights At Freddy's	Believe it or not, the star and director of Five Nights at Freddy&amp;#39;s took inspiration from Donnie Darko and Martin Scorsese&amp;#39;s Casino.							FNAF	Prod
The Marvels Is On Track For One Of The MCU's Lowest Box Office Openings	Bad news for The Marvels: the latest from the Marvel Cinematic Universe looks to be headed towards a less-than-great opening weekend at the box office.							Marvels	Box
Leonardo DiCaprio Reacts to Rapping Video, Reveals His Range in Musical Taste as He Nears 50	Leonardo DiCaprio is speaking out about the video of him rapping at his recent 49th birthday party! The Killers of the Flower Moon star was having fun at his star-studded celebration last weekend, took the mic and started rapping. Now, in a new interview, Leo…							KOTFM	Promo
The Marvels Star Iman Vellani Talks Working With Kittens, Young Avengers & More [Exclusive Interview]	We spoke with The Marvels star Iman Vellani about working with kittens, teasing the Young Avengers, deleted scenes, and who her own personal Captain Marvel is.							Marvels	Promo
Robert De Niro Claims His ‘Killers of the Flower Moon’ Tribute Speech Was Censored	While presenting at the Gothams, De Niro accused Apple and the awards organization for slashing some of his planned remarks from the teleprompter: “How dare they do that, actually?”							KOTFM	Box
Damn, What Does Disney Have Against Nia DaCosta?	The Marvels is likely going to end up one of Marvel Studios’ worst-performing films in a considerable period of time—and at a time when people are largely questioning the direction of a franchise that has dominated cinema for 15 years, that’s not an ideal bit…							Marvels	Plot
Trolls Band Together Review: A Merciless Sensory Overload	It’s time for me to do what all rational adult men do: write detailed, in-depth thoughts about Trolls Band Together, an animated jukebox musical comedy movie made for children. As I type these words, my sanity slips even further. Not only because it’s late at…							Trolls	Plot
One Of The Most Striking Moments In Napoleon Kind Of Happened, But Not Really	Did The Battle of Austerlitz happen the way it is depicted in Ridley Scott&amp;#39;s new epic Napoleon? Well, not exactly.							Napoleon	Plot
Godzilla reigns eternal thanks to years of tiny design changes	Apple TV’s Monarch is the latest show to feature a new Godzilla design. But with Minus One in theaters, the design history tells the story of the King of the Monsters.							Godzilla	Prod
How to watch Killers of the Flower Moon	The Martin Scorsese epic starring Leonardo DiCaprio was financed by Apple, but how can you watch it?    Right now, Killers of the Flower Moon is available to buy or rent on the iTunes Store, , and other VOD platforms. In the future, it will be streaming for A…							KOTFM	Streaming
'The Hunger Games' prequel kicks off weekend with $5.8M from Thursday previews	'The Hunger Games: The Ballad Of Songbirds & Snakes' Begins With Thursday Previews Around $6M - Box Office https://t.co/LkTSRqoMeB — Deadline Hollywood (@DEADLINE) November 17, 2023  'The Hunger Games: The Ballad Of Songbirds & Snakes' opened this weekend t…							HG	Box
The Marvels Star Iman Vellani Says The Box Office Is Disney CEO Bob Iger's Problem	The Marvels&amp;#39; Imran Vellani has wise words for those who wonder what she thinks about the MCU movie&amp;#39;s box office performance.							Marvels	Box
7 best cosmic Marvel characters ever, ranked	There are more heroes in space than The Marvels. Let's dive into the seven best cosmic Marvel characters, most of whom aren't in the MCU!							Marvels	Plot
The 20 best on-screen Napoleons	Napoleon Bonaparte died on May 21, 1821, but the iconic French emperor has lived on (and on and on) in numerous movies and television shows. Esteemed director Ridley Scott, who dipped his l’orteils in the water with 1977’s Napoleonic War drama The Duellists, …							NM	
'The Marvels' bombs with worst MCU opening yet	The age of superhero movies is over. 'The Marvels,' already perceived as the MCU's Hail Mary, failed to crack $48m on its opening weekend. With a $274.8m official budget (and much more spent on marketing), it is all but doomed to be the fall movie season's bi…							Marvels	Box
Which Oscar Contenders Got the Biggest Boost From the End of the Strike?	With the end of the SAG strike, awards campaigning can finally start in earnest. Which 2024 Oscar contenders will do well on the trail?							NM	Awards
Only One 2023 Movie with a Budget Over $200 Million Has Made a Profit (So Far) This Year	Only One 2023 Movie with a Budget Over $200 Million Has Made a Profit (So Far) This Year https://t.co/ucNqFWaa1w — IndieWire (@IndieWire) November 27, 2023 sourcethe year of big budget flopsOut of the 14 movie this year that had a $200M+ budget only one made…							NM	Box
As Awards Season Picks Up, Critics Are Giving Martin Scorsese His Flowers	The New York Film Critics Circle sprang for Martin Scorsese’s ‘Killers of the Flower Moon,’ which won both Best Picture and Best Actress.							KOTFM	Awards
The Marvels' Box Office, Deadpool Leaks, and More Top Pop Culture News of the Week	Image: Marvel Studios, 20th Century Studios, Jeff Spicer/Getty Images for Disney, Universal, BBC, BBC, Bottleneck Gallery, Screenshot: YouTube It’s been a bit of an up-and-down week for the House of Ideas, as Marvel both pulled out of reporting any further o…							Marvels	Box
Five Nights At Freddy's Passes $300 Million At The Box Office, Get Ready For Some Sequels	Five Nights at Freddy&amp;#39;s has grossed more than $300 million worldwide against a production budget of just $20 million.							FNAF	Box
Stride Management Signs ‘Killers Of The Flower Moon’s Cara Jade Myers	EXCLUSIVE: After being seen starring alongside Leonardo DiCaprio, Robert De Niro, Lily Gladstone and more in Martin Scorsese’s historical epic Killers of the Flower Moon, based on the work of non-fiction by David Grann, actress Cara Jade Myers has signed with…							KOTFM	NR
How To Watch Napoleon	Ridley Scott's movie Napoleon starring Joquin Phoenix releases in theaters before its eventual streaming release. Here is how and when to watch it.							Napoleon	Streaming
The Hunger Games: The Ballad of Songbirds and Snakes Debuts Atop the Domestic Weekend Box Office	The Hunger Games: The Ballad of Songbirds and Snakes has won the domestic weekend box office by holding off both Trolls Band Together and The Marvels by earning $44.0 million in tickets sales.							HG	Box
Cool Stuff: Five Nights At Freddy's Brings The Animatronic Terror To 4K Blu-Ray In December	The horror hit Five Nights at Freddy&amp;#39;s is coming home to digital and 4K Blu-ray very soon. Get all the details right here.							FNAF	Streaming
Five Nights At Freddy's Is Now Blumhouse's Biggest Movie Ever At The Box Office	Blumhouse has a long history of monster horror hits at the box office, but Five Nights at Freddy&amp;#39;s is officially their biggest smash yet.							FNAF	Box
This Anne Hathaway thriller is 2023’s freakiest movie. Here’s why you should watch it	You may not have heard of this 2023 Anne Hathaway thriller, but it's one of the best movies of the year. Here's why you should watch it.							NM	Promo
Olivia Rodrigo - Can’t Catch Me Now (from The Hunger Games: The Ballad of S&S) (Official Video)	"Liv premiered the music for her new single (""Can't Catch Me Now"") to from The Hunger Games: The Ballad of Songbirds & Snakes . Olivia Rodrigo tells THR she was thrilled to write a song for TheHungerGames : The Ballad of Songbirds  Snakes and teases her upcomi…"							HG	Promo
Will Napoleon’s Oscar Campaign End in Victory?	Ridley Scott’s historical epic ‘Napoleon’ charged into the Oscars race this week, with a surprise worthy of Austerlitz: the movie is funny. Will its awards campaign end in victory?							Napoleon	Awards
GODZILLA MINUS ONE Surpasses Initial Projections For Record-Breaking $11 Million North American Debut	The 37th film in the Godzilla franchise continues to score big at the box office as the film broke records in its North American theatrical debut this past weekend.							Godzilla	Box
Godzilla Minus One Director And Star On Making Godzilla Terrifying Again [Exclusive Interview]	/Film spoke with Godzilla Minus One director Takashi Yamazaki and star Ryunosuke Kamiki about bringing the King of the Monsters back to the big screen for Toho.							Godzilla	Promo
Why Godzilla Minus One's Box Office Makes It Such A Surprising Hit	On today&amp;#39;s episode of the /Film Daily podcast, Ryan and Ben talk about Godzilla Minus One&amp;#39;s box office performance and look ahead to the first half of 2024.							Godzilla	Box
Martin Scorsese’s editor on the inside story of Killers of the Flower Moon	The director’s longtime editor Thelma Schoonmaker discusses his latest movie and the erotic power of Powell & Pressburger							KOTFM	Promo
Disney's 'Wish' Was Expected to Debut at #1 -- but Loses to 'Hunger Games,' 'Napoleon' at Box Office	In a close contest for second place, Ridley Scott's “Napoleon” narrowly outmaneuvered Disney's “Wish” at the box office.							HG, Napoleon, Wish	Box
'Hunger Games' prequel tops Thanksgiving box office, 'Napoleon,' 'Wish' battle for second	'The Hunger Games: The Ballad of Songbirds & Snakes' fended off 'Napoleon' and 'Wish' to stay at the top of the domestic box for a second straight weekend.							HG, Napoleon, Wish	Box
How do you make peace with your shortcomings? This man has an answer	Comedian Duncan Trussell speaks on the value of transcendent experiences and how he thinks about life after death.							NR	
The Hunger Games: The Ballad of Songbirds & Snakes’ ending, explained	Here's everything that happens at the end of The Hunger Games: The Ballad of Songbirds & Snakes.							HG	Plot
Robert De Niro's Gotham Awards speech went off the rails after he realized his anti-Trump comments were edited out	Robert De Niro said that a part of his speech was edited out from the teleprompter he was reading from at the Gotham Awards.							NM	
Israel loosens rules for retrieving sperm from corpses	For years, the Israeli government has allowed for widows to request posthumous sperm retrieval from fallen soldiers in the Israeli Defense Force. As The Times of Israel explains:     Sperm must be retrieved within 24 hours after death to increase its chances …							NR	
Robert De Niro Says Part Of His Speech Excised At Gotham Awards Then Lets It Rip For ‘Killers Of The Flower Moon’ Tribute	Robert De Niro led an eventful to a Killers Of The Flower Moon tribute at the Gotham Awards, seeming to struggle with the teleprompter then circling back to say that his speech had been edited without his knowledge. The star of Martin Scorsese film then went …							KOTFM	NR
